expid,cdtid,zecoid,aoTermId,chebiTermId,ccTermId,extra
ZDB-EXP-060724-1,ZECO:0000110,11287,none,none,,,
ZDB-EXP-060724-2,ZECO:0000102,CHEBI:90623,none,none,,,
ZDB-EXP-060724-2,ZECO:0000172,ZFA:0001058,none,none,,,
ZDB-EXP-060724-3,ZECO:0000172,ZFA:0001058,none,none,,,
ZDB-EXP-060731-2,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-060815-2,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-060817-5,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-060817-6,ZECO:0000102,CHEBI:91087,none,none,,,
ZDB-EXP-060817-6,ZECO:0000102,CHEBI:86195,none,none,,,
ZDB-EXP-060818-2,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-060821-1,ZECO:0000168,ZFA:0000100,none,none,,,
ZDB-EXP-060821-2,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-060821-3,ZECO:0000168,ZFA:0000100,none,none,,,
ZDB-EXP-060821-3,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-060822-5,ZECO:0000102,,none,none,,,
ZDB-EXP-060822-5,ZECO:0000102,CHEBI:34795,none,none,,,
ZDB-EXP-060825-1,ZECO:0000166,,none,none,,,
ZDB-EXP-060825-2,ZECO:0000166,,none,none,,,
ZDB-EXP-060825-3,ZECO:0000166,,none,none,,,
ZDB-EXP-060830-1,ZECO:0000102,CHEBI:86195,none,none,,,
ZDB-EXP-060831-1,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-060831-1,ZECO:0000146,,none,none,,,
ZDB-EXP-060905-2,ZECO:0000102,CHEBI:90739,none,none,,,
ZDB-EXP-060905-3,ZECO:0000102,CHEBI:90739,none,none,,,
ZDB-EXP-060905-4,ZECO:0000102,CHEBI:90739,none,none,,,
ZDB-EXP-060905-5,ZECO:0000102,CHEBI:90739,none,none,,,
ZDB-EXP-060905-6,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-060905-7,ZECO:0000102,CHEBI:90739,none,none,,,
ZDB-EXP-060914-3,ZECO:0000102,CHEBI:86194,none,none,,,
ZDB-EXP-060914-4,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-060914-5,ZECO:0000102,CHEBI:86194,none,none,,,
ZDB-EXP-060914-6,ZECO:0000102,CHEBI:86194,none,none,,,
