genox_zdb_id,genox_exp_zdb_id,genox_is_standard,genox_is_std_or_generic_control,genox_fish_zdb_id
ZDB-GENOX-170706-7,ZDB-EXP-170706-1,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170706-8,ZDB-EXP-170706-2,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170706-9,ZDB-EXP-170706-3,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170707-1,ZDB-EXP-041102-1,t,t,ZDB-FISH-170706-3
ZDB-GENOX-170707-2,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-17089
ZDB-GENOX-170707-3,ZDB-EXP-041102-1,t,t,ZDB-FISH-170706-10
ZDB-GENOX-170707-4,ZDB-EXP-170707-1,f,f,ZDB-FISH-170706-1
ZDB-GENOX-170710-1,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-4
ZDB-GENOX-170710-10,ZDB-EXP-170710-2,f,f,ZDB-FISH-170710-4
ZDB-GENOX-170710-11,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-9285
ZDB-GENOX-170710-12,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-12
ZDB-GENOX-170710-13,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-13
ZDB-GENOX-170710-14,ZDB-EXP-170710-3,f,f,ZDB-FISH-170710-4
ZDB-GENOX-170710-15,ZDB-EXP-170710-3,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170710-16,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-26364
ZDB-GENOX-170710-17,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-1892
ZDB-GENOX-170710-18,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-1764
ZDB-GENOX-170710-19,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-16
ZDB-GENOX-170710-2,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-5
ZDB-GENOX-170710-20,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-17
ZDB-GENOX-170710-21,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-18
ZDB-GENOX-170710-22,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-19
ZDB-GENOX-170710-3,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-6
ZDB-GENOX-170710-4,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-7
ZDB-GENOX-170710-5,ZDB-EXP-170710-1,f,f,ZDB-FISH-170710-4
ZDB-GENOX-170710-6,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-8
ZDB-GENOX-170710-7,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-9
ZDB-GENOX-170710-8,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-11
ZDB-GENOX-170710-9,ZDB-EXP-070511-5,t,t,ZDB-FISH-170710-10
ZDB-GENOX-170711-1,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-13378
ZDB-GENOX-170711-10,ZDB-EXP-170711-1,f,f,ZDB-FISH-170711-8
ZDB-GENOX-170711-11,ZDB-EXP-070511-5,t,t,ZDB-FISH-170711-9
ZDB-GENOX-170711-12,ZDB-EXP-070511-5,t,t,ZDB-FISH-170711-10
ZDB-GENOX-170711-13,ZDB-EXP-170711-2,f,f,ZDB-FISH-170711-9
ZDB-GENOX-170711-14,ZDB-EXP-170711-2,f,f,ZDB-FISH-150901-24060
ZDB-GENOX-170711-15,ZDB-EXP-070511-5,t,t,ZDB-FISH-170711-13
ZDB-GENOX-170711-16,ZDB-EXP-041102-1,t,t,ZDB-FISH-170711-16
ZDB-GENOX-170711-17,ZDB-EXP-041102-1,t,t,ZDB-FISH-170710-14
ZDB-GENOX-170711-18,ZDB-EXP-041102-1,t,t,ZDB-FISH-170711-12
ZDB-GENOX-170711-19,ZDB-EXP-041102-1,t,t,ZDB-FISH-170711-11
ZDB-GENOX-170711-2,ZDB-EXP-070511-5,t,t,ZDB-FISH-170711-1
ZDB-GENOX-170711-20,ZDB-EXP-041102-1,t,t,ZDB-FISH-170711-14
ZDB-GENOX-170711-21,ZDB-EXP-041102-1,t,t,ZDB-FISH-170711-15
ZDB-GENOX-170711-3,ZDB-EXP-070511-5,t,t,ZDB-FISH-170711-2
ZDB-GENOX-170711-4,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-21229
ZDB-GENOX-170711-5,ZDB-EXP-041102-1,t,t,ZDB-FISH-170711-4
ZDB-GENOX-170711-6,ZDB-EXP-041102-1,t,t,ZDB-FISH-170711-5
ZDB-GENOX-170711-7,ZDB-EXP-041102-1,t,t,ZDB-FISH-170711-6
ZDB-GENOX-170711-8,ZDB-EXP-041102-1,t,t,ZDB-FISH-170711-7
ZDB-GENOX-170711-9,ZDB-EXP-070511-5,t,t,ZDB-FISH-170711-8
ZDB-GENOX-170712-1,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-2
ZDB-GENOX-170712-10,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-7
ZDB-GENOX-170712-11,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-8
