alleleid,ensdarg1,ensdarg2
sa38109,ENSDARG00000086627,
sa44333,ENSDARG00000041023,
sa38911,ENSDARG00000068422,ENSDARG00000101969
sa19927,ENSDARG00000079348,ENSDARG00000079348
sa35993,ENSDARG00000088285,
sa45279,,ENSDARG00000105571
sa30352,ENSDARG00000053220,
sa34873,ENSDARG00000046054,ENSDARG00000046054
sa24575,ENSDARG00000086147,ENSDARG00000098503
sa22918,ENSDARG00000078204,ENSDARG00000078204
sa8970,ENSDARG00000091806,
sa32065,ENSDARG00000077316,ENSDARG00000077316
sa44390,ENSDARG00000088325,
sa33497,ENSDARG00000095262,ENSDARG00000103047
sa40589,ENSDARG00000077425,ENSDARG00000077425
sa33999,ENSDARG00000095337,
sa39502,ENSDARG00000091659,ENSDARG00000098720
sa20558,ENSDARG00000079413,ENSDARG00000104980
sa20297,ENSDARG00000092942,ENSDARG00000101782
sa36416,ENSDARG00000089454,ENSDARG00000089454
sa40454,ENSDARG00000078410,ENSDARG00000078410
sa41647,ENSDARG00000074139,
sa41349,ENSDARG00000076824,ENSDARG00000076824
sa35766,ENSDARG00000053183,
sa38252,ENSDARG00000090659,ENSDARG00000106258
sa33615,ENSDARG00000035530,ENSDARG00000035530
sa34882,ENSDARG00000091492,
sa37976,ENSDARG00000079153,
sa34264,ENSDARG00000059452,ENSDARG00000104937
sa30321,ENSDARG00000090644,
sa44423,ENSDARG00000063315,
sa41930,ENSDARG00000086306,
sa43188,ENSDARG00000076852,ENSDARG00000099838
sa34179,ENSDARG00000052059,ENSDARG00000052059
sa43684,ENSDARG00000060200,ENSDARG00000060200
sa24162,ENSDARG00000079876,ENSDARG00000079876
sa42336,ENSDARG00000075935,
sa34992,ENSDARG00000091350,
sa40352,ENSDARG00000091236,ENSDARG00000091236
sa34262,ENSDARG00000059452,ENSDARG00000104937
sa19960,ENSDARG00000022185,ENSDARG00000022185
sa32420,ENSDARG00000089148,
sa35106,ENSDARG00000079546,ENSDARG00000079546
sa44388,ENSDARG00000086174,ENSDARG00000100186
sa44427,ENSDARG00000090611,
sa44405,ENSDARG00000091328,
sa39223,ENSDARG00000057593,
sa40357,ENSDARG00000090311,ENSDARG00000100624
sa33496,ENSDARG00000092215,ENSDARG00000095023
sa36140,ENSDARG00000086190,
sa40127,ENSDARG00000088614,
sa39182,ENSDARG00000074397,ENSDARG00000100757
sa43564,ENSDARG00000057731,ENSDARG00000098909
sa42118,ENSDARG00000024748,
sa24573,ENSDARG00000092902,ENSDARG00000103837
sa38194,ENSDARG00000086642,
sa34224,ENSDARG00000087722,ENSDARG00000105953
sa23610,ENSDARG00000088763,ENSDARG00000108520
sa43881,ENSDARG00000077959,ENSDARG00000077959
sa37416,ENSDARG00000071716,ENSDARG00000098180
sa37980,ENSDARG00000087041,
sa30829,ENSDARG00000077651,
sa24572,ENSDARG00000092902,
sa39518,ENSDARG00000089506,
sa38374,ENSDARG00000079154,
sa44400,ENSDARG00000043852,ENSDARG00000098418
sa35462,ENSDARG00000090650,
sa39991,ENSDARG00000090037,
sa24526,ENSDARG00000010075,
sa24819,ENSDARG00000043851,
sa33556,ENSDARG00000078515,ENSDARG00000101452
sa44389,ENSDARG00000037926,ENSDARG00000102191
sa44370,ENSDARG00000090157,
sa24780,ENSDARG00000087255,
sa39654,ENSDARG00000075951,
sa38001,ENSDARG00000029232,
sa31576,ENSDARG00000068686,
sa40379,ENSDARG00000068742,ENSDARG00000068742
sa20349,ENSDARG00000078938,ENSDARG00000078938
sa36281,ENSDARG00000077559,ENSDARG00000077559
sa33539,ENSDARG00000078272,ENSDARG00000078272
sa21408,ENSDARG00000060912,ENSDARG00000098636
sa40889,ENSDARG00000007199,ENSDARG00000007199
sa38546,ENSDARG00000061535,
sa39273,ENSDARG00000092928,
sa44426,ENSDARG00000090782,ENSDARG00000102800
sa24737,ENSDARG00000014615,
sa42301,ENSDARG00000071165,
sa41860,ENSDARG00000088772,
sa34266,ENSDARG00000075823,ENSDARG00000075823
