expid,cdtid,zecoid,aotermid,chebiTermId,otherTermId,cctermid
ZDB-EXP-060111-2,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-060112-1,ZDB-CDT-050823-4,ZECO:0000172,none,none,,
ZDB-EXP-060112-2,ZDB-CDT-050823-4,ZECO:0000172,none,none,,
ZDB-EXP-060112-3,ZDB-CDT-050823-4,ZECO:0000172,none,none,,
ZDB-EXP-060112-4,ZDB-CDT-050823-4,ZECO:0000172,none,none,,
ZDB-EXP-060113-2,ZDB-CDT-050127-2,ZECO:0000162,none,none,,
ZDB-EXP-060113-3,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:48607,
ZDB-EXP-060118-2,ZDB-CDT-050127-23,ZECO:0000102,none,none,,
ZDB-EXP-060118-2,ZDB-CDT-050127-19,ZECO:0000102,none,none,,
ZDB-EXP-060118-3,ZDB-CDT-050127-23,ZECO:0000102,none,none,,
ZDB-EXP-060118-3,ZDB-CDT-050127-19,ZECO:0000102,none,none,,
ZDB-EXP-060118-4,ZDB-CDT-050127-23,ZECO:0000102,none,none,,
ZDB-EXP-060118-4,ZDB-CDT-050127-19,ZECO:0000102,none,none,,
ZDB-EXP-060123-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-060123-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:90623,
ZDB-EXP-060123-3,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-060124-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17963,
ZDB-EXP-060124-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17963,
ZDB-EXP-060124-2,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:9087,
ZDB-EXP-060124-3,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17963,
ZDB-EXP-060124-5,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17963,
ZDB-EXP-060124-5,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:47781,
ZDB-EXP-060124-6,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17963,
ZDB-EXP-060124-6,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:116225,
ZDB-EXP-060126-1,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-060126-2,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-060126-2,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-060201-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:86195,
ZDB-EXP-060201-3,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-060201-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-060201-5,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17898,
ZDB-EXP-060201-6,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:27641,
ZDB-EXP-060201-7,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-060201-7,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:27641,
ZDB-EXP-060206-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-060207-3,ZDB-CDT-050127-8,ZECO:0000102,none,none,CHEBI:46261,
ZDB-EXP-060208-1,ZDB-CDT-050823-4,ZECO:0000181,none,none,ZFA:0000435,
ZDB-EXP-060209-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-060209-2,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-060210-2,ZDB-CDT-050513-1,ZECO:0000102,none,none,,
ZDB-EXP-060210-3,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-060210-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-060216-2,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-060216-2,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-060216-4,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-060216-4,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-060222-1,ZDB-CDT-050823-4,ZECO:0000172,none,none,,
ZDB-EXP-060222-1,ZDB-CDT-050127-2,ZECO:0000163,none,none,,
ZDB-EXP-060222-2,ZDB-CDT-050823-4,ZECO:0000172,none,none,,
ZDB-EXP-060222-2,ZDB-CDT-050127-2,ZECO:0000163,none,none,,
ZDB-EXP-060222-3,ZDB-CDT-050823-4,ZECO:0000172,none,none,,
ZDB-EXP-060222-3,ZDB-CDT-050127-2,ZECO:0000163,none,none,,
ZDB-EXP-060228-4,ZDB-CDT-050127-20,ZECO:0000102,none,none,CHEBI:15551,
ZDB-EXP-060228-5,ZDB-CDT-050127-20,ZECO:0000102,none,none,CHEBI:15551,
ZDB-EXP-060311-2,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-060311-4,ZDB-CDT-050127-12,ZECO:0000102,none,none,CHEBI:35456,
ZDB-EXP-060311-4,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-060315-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:26536,
ZDB-EXP-060315-5,ZDB-CDT-050823-1,ZECO:0000106,none,none,1781,
ZDB-EXP-060317-1,ZDB-CDT-050127-21,ZECO:0000102,none,none,CHEBI:29105,
ZDB-EXP-060317-2,ZDB-CDT-050127-21,ZECO:0000102,none,none,CHEBI:29105,
ZDB-EXP-060317-3,ZDB-CDT-050127-21,ZECO:0000102,none,none,CHEBI:29105,
ZDB-EXP-060321-3,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-060322-1,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-060322-1,ZDB-CDT-050823-4,ZECO:0000229,none,none,,
ZDB-EXP-060331-4,ZDB-CDT-070619-1,ZECO:0000102,none,none,CHEBI:86193,
ZDB-EXP-060407-10,ZDB-CDT-050127-27,ZECO:0000149,none,none,,
ZDB-EXP-060407-11,ZDB-CDT-050127-27,ZECO:0000150,none,none,,
ZDB-EXP-060407-12,ZDB-CDT-050127-27,ZECO:0000146,none,none,,
ZDB-EXP-060407-3,ZDB-CDT-050127-27,ZECO:0000149,none,none,,
ZDB-EXP-060407-4,ZDB-CDT-050127-27,ZECO:0000149,none,none,,
ZDB-EXP-060407-5,ZDB-CDT-050127-27,ZECO:0000149,none,none,,
ZDB-EXP-060407-6,ZDB-CDT-050127-27,ZECO:0000149,none,none,,
ZDB-EXP-060407-7,ZDB-CDT-050127-27,ZECO:0000149,none,none,,
ZDB-EXP-060407-8,ZDB-CDT-050127-27,ZECO:0000149,none,none,,
ZDB-EXP-060407-9,ZDB-CDT-050127-27,ZECO:0000149,none,none,,
ZDB-EXP-060411-1,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-060411-3,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-060418-2,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-060420-1,ZDB-CDT-050127-32,ZECO:0000237,none,none,,
ZDB-EXP-060420-2,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:23888,
ZDB-EXP-060420-3,ZDB-CDT-060420-1,ZECO:0000102,none,none,,
ZDB-EXP-060421-1,ZDB-CDT-050823-3,ZECO:0000102,none,none,,
ZDB-EXP-060426-1,ZDB-CDT-050127-20,ZECO:0000102,none,none,CHEBI:27436,
ZDB-EXP-060426-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-060426-2,ZDB-CDT-050127-14,ZECO:0000102,none,none,CHEBI:4903,
ZDB-EXP-060426-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
