GAF Load Error Summary
============================================================
Total errors: 3,317
Unique error categories: 641

Error Counts by Category
------------------------------------------------------------
   2,180  Goref ID is not known or loaded
       1  Cannot add root-term annotation GO:0003674 for marker 'ssuh2.4' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'steep1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'stom' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'stra6l' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'strip1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'sumf1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'surf4' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tdrkh' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'thap3' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'them4' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tiprl' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tm2d2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tma16' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tmbim1a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tmbim4' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tmbim6' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tmem11' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tmem147' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tmem223' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tmem258' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tmem35a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tmem41b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tmem43' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tnfaip8l3' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tnni1c' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tnni1d' as there are already non-root term annotations existent.
