featureid,variantnote,allelenote
ZDB-ALT-110706-2,variant,allele
ZDB-ALT-110701-4,variant,allele
ZDB-ALT-110621-15,variant,allele
ZDB-ALT-110701-19,variant,allele
ZDB-ALT-110712-14,variant,allele
ZDB-ALT-110712-39,variant,allele
ZDB-ALT-110706-31,variant,allele
ZDB-ALT-110706-49,variant,allele
ZDB-ALT-110707-8,variant,allele
ZDB-ALT-110701-22,variant,allele
ZDB-ALT-110621-3,variant,allele
ZDB-ALT-110712-47,variant,allele
ZDB-ALT-110706-7,variant,allele
ZDB-ALT-110712-23,variant,allele
ZDB-ALT-110706-30,variant,allele
ZDB-ALT-110711-10,variant,allele
ZDB-ALT-110712-16,variant,allele
ZDB-ALT-110701-1,variant,allele
ZDB-ALT-110706-37,variant,allele
ZDB-ALT-110707-5,variant,allele
ZDB-ALT-110713-3,variant,allele
ZDB-ALT-110712-20,variant,allele
ZDB-ALT-110706-23,variant,allele
ZDB-ALT-110712-55,variant,allele
ZDB-ALT-110621-12,variant,allele
ZDB-ALT-110713-2,variant,allele
ZDB-ALT-110621-11,variant,allele
ZDB-ALT-110711-14,variant,allele
ZDB-ALT-110621-10,variant,allele
ZDB-ALT-110706-43,variant,allele
ZDB-ALT-110712-29,variant,allele
ZDB-ALT-110701-7,variant,allele
ZDB-ALT-110711-12,variant,allele
ZDB-ALT-110713-5,variant,allele
ZDB-ALT-110711-8,variant,allele
ZDB-ALT-110712-5,variant,allele
ZDB-ALT-110706-42,variant,allele
ZDB-ALT-110712-15,variant,allele
ZDB-ALT-110712-31,variant,allele
ZDB-ALT-110712-61,variant,allele
ZDB-ALT-110711-2,variant,allele
ZDB-ALT-110621-5,variant,allele
ZDB-ALT-110711-4,variant,allele
ZDB-ALT-110630-8,variant,allele
ZDB-ALT-110701-9,variant,allele
ZDB-ALT-110706-1,variant,allele
ZDB-ALT-110712-71,variant,allele
ZDB-ALT-110701-26,variant,allele
ZDB-ALT-110711-11,variant,allele
ZDB-ALT-110706-36,variant,allele
ZDB-ALT-110701-3,variant,allele
ZDB-ALT-110706-40,variant,allele
ZDB-ALT-110713-9,variant,allele
ZDB-ALT-110630-14,variant,allele
ZDB-ALT-110706-10,variant,allele
ZDB-ALT-110707-11,variant,allele
ZDB-ALT-110712-64,variant,allele
ZDB-ALT-110712-49,variant,allele
ZDB-ALT-110701-12,variant,allele
ZDB-ALT-110630-12,variant,allele
ZDB-ALT-110621-8,variant,allele
ZDB-ALT-110712-74,variant,allele
ZDB-ALT-110712-68,variant,allele
ZDB-ALT-110706-48,variant,allele
ZDB-ALT-110707-4,variant,allele
ZDB-ALT-110707-10,variant,allele
ZDB-ALT-110711-7,variant,allele
ZDB-ALT-110712-53,variant,allele
ZDB-ALT-110701-10,variant,allele
ZDB-ALT-110712-18,variant,allele
ZDB-ALT-110622-6,variant,allele
ZDB-ALT-110622-4,variant,allele
ZDB-ALT-110622-28,variant,allele
ZDB-ALT-110622-40,variant,allele
ZDB-ALT-110622-38,variant,allele
ZDB-ALT-110622-37,variant,allele
ZDB-ALT-110622-1,variant,allele
ZDB-ALT-110622-29,variant,allele
ZDB-ALT-110622-7,variant,allele
ZDB-ALT-110622-31,variant,allele
ZDB-ALT-110622-35,variant,allele
ZDB-ALT-110622-27,variant,allele
ZDB-ALT-110622-41,variant,allele
ZDB-ALT-110622-26,variant,allele
ZDB-ALT-110621-22,variant,allele
ZDB-ALT-110622-5,variant,allele
ZDB-ALT-110622-34,variant,allele
ZDB-ALT-110622-30,variant,allele
ZDB-ALT-110622-33,variant,allele
ZDB-ALT-110622-3,variant,allele
ZDB-ALT-110622-2,variant,allele
ZDB-ALT-110622-39,variant,allele
ZDB-ALT-110622-25,variant,allele
ZDB-ALT-120806-10818,variant,allele
ZDB-ALT-151216-13,variant,allele
ZDB-ALT-151216-35,variant,allele
ZDB-ALT-151216-37,variant,allele
ZDB-ALT-151216-47,variant,allele
ZDB-ALT-151216-19,variant,allele
ZDB-ALT-151216-44,variant,allele
ZDB-ALT-151216-52,variant,allele
ZDB-ALT-130214-7,variant,allele
ZDB-ALT-151216-41,variant,allele
ZDB-ALT-151216-40,variant,allele
ZDB-ALT-151216-28,variant,allele
ZDB-ALT-151216-24,variant,allele
ZDB-ALT-151216-58,variant,allele
ZDB-ALT-151216-14,variant,allele
ZDB-ALT-151216-1,variant,allele
ZDB-ALT-151216-50,variant,allele
ZDB-ALT-151216-69,variant,allele
ZDB-ALT-151216-59,variant,allele
ZDB-ALT-151216-49,variant,allele
ZDB-ALT-151216-22,variant,allele
ZDB-ALT-151216-67,variant,allele
ZDB-ALT-151216-26,variant,allele
ZDB-ALT-151216-2,variant,allele
ZDB-ALT-151216-4,variant,allele
ZDB-ALT-151216-29,variant,allele
ZDB-ALT-151216-20,variant,allele
ZDB-ALT-151216-62,variant,allele
ZDB-ALT-130214-3,variant,allele
ZDB-ALT-151216-53,variant,allele
ZDB-ALT-151216-43,variant,allele
ZDB-ALT-151216-56,variant,allele
ZDB-ALT-151216-55,variant,allele
ZDB-ALT-151216-74,variant,allele
ZDB-ALT-151216-60,variant,allele
ZDB-ALT-151216-31,variant,allele
ZDB-ALT-151216-51,variant,allele
ZDB-ALT-151216-21,variant,allele
ZDB-ALT-151216-46,variant,allele
ZDB-ALT-151216-8,variant,allele
ZDB-ALT-151216-12,variant,allele
ZDB-ALT-151216-57,variant,allele
ZDB-ALT-151216-6,variant,allele
ZDB-ALT-140509-1,variant,allele
ZDB-ALT-131107-8,variant,allele
ZDB-ALT-140806-1,variant,allele
ZDB-ALT-090714-2,variant,allele
ZDB-ALT-090714-3,variant,allele
ZDB-ALT-090714-4,variant,allele
ZDB-ALT-090714-6,variant,allele
ZDB-ALT-120209-46,variant,allele
ZDB-ALT-080827-6,variant,allele
ZDB-ALT-080827-10,variant,allele
ZDB-ALT-080827-15,variant,allele
ZDB-ALT-080827-8,variant,allele
ZDB-ALT-080827-18,variant,allele
ZDB-ALT-080827-21,variant,allele
ZDB-ALT-080828-5,variant,allele
ZDB-ALT-080828-6,variant,allele
ZDB-ALT-181106-13,variant,allele
ZDB-ALT-170123-1,variant,allele
ZDB-ALT-120220-5,variant,allele
ZDB-ALT-120307-1,variant,allele
ZDB-ALT-120220-4,variant,allele
ZDB-ALT-111010-24,variant,allele
ZDB-ALT-120309-1,variant,allele
ZDB-ALT-020426-30,variant,allele
ZDB-ALT-020426-86,variant,allele
ZDB-ALT-020430-26,variant,allele
ZDB-ALT-020426-66,variant,allele
ZDB-ALT-050908-6,variant,allele
ZDB-ALT-040712-2,variant,allele
ZDB-ALT-020430-44,variant,allele
ZDB-ALT-040712-4,variant,allele
ZDB-ALT-040713-2,variant,allele
ZDB-ALT-040714-4,variant,allele
ZDB-ALT-020426-2,variant,allele
ZDB-ALT-001221-6,variant,allele
ZDB-ALT-020426-90,variant,allele
ZDB-ALT-020426-52,variant,allele
ZDB-ALT-020430-8,variant,allele
ZDB-ALT-020430-48,variant,allele
ZDB-ALT-020426-36,variant,allele
ZDB-ALT-040719-2,variant,allele
ZDB-ALT-020301-2,variant,allele
ZDB-ALT-020426-102,variant,allele
ZDB-ALT-040720-6,variant,allele
ZDB-ALT-040720-12,variant,allele
ZDB-ALT-040622-10,variant,allele
ZDB-ALT-020426-28,variant,allele
ZDB-ALT-020430-20,variant,allele
ZDB-ALT-040622-8,variant,allele
ZDB-ALT-040721-2,variant,allele
ZDB-ALT-020426-68,variant,allele
ZDB-ALT-030219-4,variant,allele
ZDB-ALT-020430-6,variant,allele
ZDB-ALT-040721-30,variant,allele
ZDB-ALT-040722-10,variant,allele
ZDB-ALT-050805-8,variant,allele
ZDB-ALT-040722-16,variant,allele
ZDB-ALT-040723-2,variant,allele
ZDB-ALT-040727-6,variant,allele
ZDB-ALT-040727-8,variant,allele
ZDB-ALT-040728-22,variant,allele
ZDB-ALT-040803-2,variant,allele
ZDB-ALT-040804-2,variant,allele
ZDB-ALT-040805-2,variant,allele
ZDB-ALT-040913-2,variant,allele
ZDB-ALT-040914-2,variant,allele
ZDB-ALT-040915-4,variant,allele
ZDB-ALT-030715-6,variant,allele
