"Allele","ZFIN ID","Background"
"sa14070","ZDB-GENE-100922-174","TL"
"sa14071","ZDB-GENE-070410-3","TL"
"sa14072","ZDB-GENE-990712-11","TL"
"sa14073","ZDB-GENE-030131-8984","TL"
"sa14074","ZDB-GENE-100609-3","TL"
"sa14075","ZDB-GENE-030616-13","TL"
"sa14076","ZDB-GENE-070818-1","TL"
"sa14077","ZDB-GENE-030131-3165","TL"
"sa14078","ZDB-GENE-060130-169","TL"
"sa14079","ZDB-GENE-001212-4","TL"
"sa14080","ZDB-GENE-041001-122","TL"
"sa14081","ZDB-GENE-030131-3230","TL"
"sa14083","ZDB-GENE-120215-116","TL"
"sa14084","ZDB-GENE-030131-5505","TL"
"sa14085","ZDB-GENE-091204-429","TL"
"sa14086","ZDB-GENE-050208-584","TL"
"sa14087","ZDB-GENE-080724-4","TL"
"sa14088","ZDB-GENE-050208-622","TL"
"sa14089","ZDB-GENE-070912-589","TL"
"sa14090","ZDB-GENE-021125-1","TL"
"sa14091","ZDB-GENE-060503-273","TL"
"sa14092","ZDB-GENE-100921-38","TL"
"sa14093","ZDB-GENE-040624-5","TL"
"sa14094","ZDB-GENE-070705-417","TL"
"sa14095","ZDB-GENE-070705-307","TL"
"sa14097","ZDB-GENE-030616-438","TL"
"sa14099","ZDB-GENE-080123-1","TL"
"sa14100","ZDB-GENE-041001-182","TL"
"sa14101","ZDB-GENE-030616-525","TL"
"sa14103","ZDB-GENE-030616-81","TL"
"sa14104","ZDB-GENE-030131-5083","TL"
"sa14105","ZDB-GENE-070620-4","TL"
"sa14106","ZDB-GENE-030131-1193","TL"
"sa14107","ZDB-GENE-100812-10","TL"
"sa14108","ZDB-GENE-011105-1","TL"
"sa14110","ZDB-GENE-060328-2","TL"
"sa14111","ZDB-GENE-081104-511","TL"
"sa14114","ZDB-GENE-060503-223","TL"
"sa14115","ZDB-GENE-060223-2","TL"
"sa14116","ZDB-GENE-090313-216","TL"
"sa14117","ZDB-GENE-060810-148","TL"
"sa14119","ZDB-GENE-990415-103","TL"
"sa14120","ZDB-GENE-040426-716","TL"
"sa14122","ZDB-GENE-040714-1","TL"
"sa14123","ZDB-GENE-041114-99","TL"
"sa14124","ZDB-GENE-081105-26","TL"
"sa14125","ZDB-GENE-040625-38","TL"
"sa14126","ZDB-GENE-050419-129","TL"
"sa14127","ZDB-GENE-091204-164","TL"
"sa14128","ZDB-GENE-091118-56","TL"
"sa14130","ZDB-GENE-061027-344","TL"
"sa14131","ZDB-GENE-990415-169","TL"
"sa14136","ZDB-GENE-041010-14","TL"
"sa14137","ZDB-GENE-090312-66","TL"
"sa14138","ZDB-GENE-051120-87","TL"
"sa14139","ZDB-GENE-050411-59","TL"
"sa14141","ZDB-GENE-120215-110","TL"
"sa14142","ZDB-GENE-060512-211","TL"
"sa14143","ZDB-GENE-121214-53","TL"
"sa14145","ZDB-GENE-040801-242","TL"
"sa14146","ZDB-GENE-040714-3","TL"
"sa14148","ZDB-GENE-070905-4","TL"
"sa14149","ZDB-GENE-050208-36","TL"
"sa14150","ZDB-GENE-100922-275","TL"
"sa14151","ZDB-GENE-080917-25","TL"
"sa14152","ZDB-GENE-050419-192","TL"
"sa14153","ZDB-GENE-080919-2","TL"
"sa14154","ZDB-GENE-030131-1966","TL"
"sa14155","ZDB-GENE-060503-660","TL"
"sa14156","ZDB-GENE-041210-146","TL"
"sa14157","ZDB-GENE-060503-64","TL"
"sa14158","ZDB-GENE-050809-3","TL"
"sa14159","ZDB-GENE-040426-1384","TL"
"sa14160","ZDB-GENE-080403-8","TL"
"sa14161","ZDB-GENE-060810-64","TL"
"sa14162","ZDB-GENE-060526-29","TL"
"sa14163","ZDB-GENE-050913-89","TL"
"sa14165","ZDB-GENE-990910-10","TL"
"sa14166","ZDB-GENE-061103-88","TL"
"sa14169","ZDB-GENE-040426-1880","TL"
"sa14170","ZDB-GENE-980526-324","TL"
"sa14171","ZDB-GENE-991207-22","TL"
"sa14173","ZDB-GENE-990415-130","TL"
"sa14174","ZDB-GENE-040426-2498","TL"
"sa14175","ZDB-GENE-040516-11","TL"
"sa14176","ZDB-GENE-030131-464","TL"
"sa14177","ZDB-GENE-040718-151","TL"
"sa14179","ZDB-GENE-031001-12","TL"
"sa14181","ZDB-GENE-010226-2","TL"
"sa14182","ZDB-GENE-061110-34","TL"
"sa14183","ZDB-GENE-080716-1","TL"
"sa14184","ZDB-GENE-110208-9","TL"
"sa14187","ZDB-GENE-030616-623","TL"
"sa14188","ZDB-GENE-060503-196","TL"
